NYAGADZI,Primary
NYAGANDE,Primary
NYAGANDE SECONDARY,Secondary
NYAGARI,Primary
NYAGARI,Primary
NYAGOMBE,Primary
NYAGONYE,Primary
NYAGORE,Primary
NYAGORI,Secondary
NYAGUMBO,Primary
NYAGUNDI,Secondary
NYAGUNDI,Primary
NYAHANGA,Primary
NYAHAVA,Primary
NYAHAWA,Secondary
NYAHODE UNION,Secondary
NYAHOMBE,Secondary
NYAHOMBE PRIMARY,Primary
NYAHONDO,Secondary
NYAHONDO,Primary
NYAHONDO,Primary
NYAHONDO,Primary
NYAHONI,Primary
NYAHONYE,Secondary
NYAHOWE,Primary
NYAHUKU,Secondary
NYAHUKU RIVER,Primary
NYAHUKWE,Primary
NYAHUKWE ,Secondary
NYAHUNDA,Primary
NYAHUNI,Primary
NYAHUNI (MAKUNDE),Secondary
NYAHURUNGURUHWE,Primary
NYAJE,Primary
NYAJE,Secondary
NYAJENA PRIMARY,Primary
NYAJENJE,Primary
NYAJEZI,Secondary
NYAJEZI,Primary
NYAKABAU,Primary
NYAKADECHA,Primary
NYAKAPUPU,Primary
NYAKAPUPU,Secondary
NYAKAROWA DAM,Primary
NYAKASIKANA,Primary
NYAKASIKANA,Secondary
NYAKASIKANA,Secondary
NYAKASIKANA ,Primary
NYAKATSAPA,Secondary
NYAKATSAPA,Primary
NYAKOMBA,Secondary
NYAKUCHENA,Secondary
NYAKUCHENA,Primary
NYAKUDYA,Secondary
NYAKUDYA,Primary
NYAKUDYA,Secondary
NYAKUDYA,Primary
NYAKUIPA,Secondary
NYAKUNHUWA,Primary
NYAKUNU,Primary
NYAKURWI,Primary
NYAKWATI ,Primary
NYAKWIMA,Primary
NYAMA,Primary
NYAMA,Secondary
NYAMACHENI,Primary
NYAMACHENI,Secondary
NYAMADZI CHIMANA B ,Primary
NYAMAENDE,Primary
NYAMAFUFU PRIMARY,Primary
NYAMAHAPE,Primary
NYAMAHAPE,Secondary
NYAMAHOBOGO,Secondary
NYAMAHOBOGO,Primary
NYAMAHUMBA   ,Primary
